title,rating,reviews_count,type_ins
Introduction to Portfolio Construction and Analysis with Python,4.769230769230769,195,Other
Data Analytics for Lean Six Sigma,4.87481590574374,679,University
Refugees in the 21st Century,4.816666666666666,60,University
Building Containerized Applications on AWS,4.318181818181818,44,Other
Business Transformation with Google Cloud,4.718232044198895,181,Other
Version Control with Git,4.747323340471092,467,Other
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",4.715976331360947,169,University
Excel aplicado a los negocios (Nivel Avanzado),4.719626168224299,642,University
Introduction to Public Speaking,4.812807881773399,406,University
Building Conversational Experiences with Dialogflow,4.2314410480349345,229,Other
Guitar for Beginners,4.726591760299626,534,University
Managing Project Risks and Changes,4.774352651048089,811,University
L'excellence opérationnelle en pratique,4.73469387755102,98,Other
Introduction to Cloud Computing,4.819277108433735,83,Other
Sample-based Learning Methods,4.449664429530201,149,Institute
Functional Programming Principles in Scala,4.719163763066202,1435,Other
Introduction to Blockchain Technologies,4.711920529801325,302,Other
Introduction to Environmental Law and Policy,4.871892925430211,523,University
"Cameras, Exposure, and Photography",4.727357609710551,1071,University
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,4.860091743119266,436,University
Dentistry 101,4.84375,32,University
"Python Functions, Files, and Dictionaries",4.805607476635514,535,University
Anticorrupción: Introducción a conceptos y perspectiva práctica,4.851948051948052,385,University
Positive Psychology: Applications and Interventions,4.741206030150754,398,University
Introduction to Embedded Systems Software and Development Environments,4.275229357798165,109,University
Personal & Family Financial Planning,4.605263157894737,380,University
A Law Student's Toolkit,4.680412371134021,291,University
Introducción a Data Science: Programación Estadística con R,4.732971165900543,2393,University
"Cybersecurity Roles, Processes & Operating System Security",4.406976744186046,344,Other
Computational Neuroscience,4.53932584269663,178,University
Smart Cities – Management of Smart Urban Infrastructures,4.594594594594595,222,Other
Getting Started with Go,4.404458598726115,314,University
Introduction to Economic Theories,4.136363636363637,44,University
The Power of Microeconomics: Economic Principles in the Real World,4.62962962962963,270,University
Introduction to Personal Branding,4.447368421052632,1976,University
Love as a Force for Social Justice,4.712328767123288,73,University
Mathematical Thinking in Computer Science,4.246458923512748,353,University
Introduction to Genetics and Evolution,4.840304182509506,263,University
Основы программирования на Python,4.293893129770993,524,University
Improving Communication Skills,4.7,360,University
"Introduction to Trading, Machine Learning & GCP",3.463768115942029,138,Institute
Python Programming: A Concise Introduction,4.661498708010336,1161,University
"The Modern World, Part Two: Global History since 1910",4.793103448275862,290,University
Understanding Plants - Part I: What a Plant Knows,4.825958702064897,339,University
Excel Fundamentals for Data Analysis,4.587628865979381,97,University
Finanzas personales,4.803474903474903,2590,University
English Composition I,4.569832402234637,179,University
Career 911: Your Future Job in Medicine and Healthcare,4.2727272727272725,11,University
Introduction to Self-Driving Cars,4.647590361445783,332,University
Corporate & Commercial Law I: Contracts & Employment Law,4.842592592592593,108,University
Blockchain Basics,4.503150315031503,1111,University
Foundations of Business Strategy,4.795154185022026,454,University
Introdução à Ciência da Computação com Python Parte 1,4.86892177589852,1419,University
Stochastic processes,4.168674698795181,83,University
Foundations for Big Data Analysis with SQL,4.8152866242038215,157,Other
"Innovation Through Design: Think, Make, Break, Repeat",4.757894736842105,95,University
Perfect Tenses and Modals,4.807162534435261,726,University
Getting Started with Azure,4.285714285714286,63,Other
Moralities of Everyday Life,4.840909090909091,572,University
Revisão Sistemática e Meta-análise,4.9211087420042645,469,University
Understanding child development: from synapse to society,4.636363636363637,44,University
Introduction to G Suite,4.619596541786744,347,Other
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),4.919417475728156,3090,University
Building Batch Data Pipelines on GCP,4.255813953488372,129,Other
Financial Planning for Young Adults,4.414634146341464,82,University
Quantitative Methods,4.7132743362831855,565,University
"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",4.921052631578948,76,University
The Technology of Music Production,4.851063829787234,235,University
Code Yourself! An Introduction to Programming,4.800595238095238,672,University
Success,4.902985074626866,268,University
Chemicals and Health,4.790816326530612,196,University
Improving your statistical inferences,4.887179487179488,195,University
Fundamentals of Finance,3.888888888888889,9,University
How Google does Machine Learning,4.487019730010384,963,Other
Object-Oriented Design,4.542553191489362,282,University
Introduction to Intellectual Property,4.753086419753086,81,University
Cost and Economics in Pricing Strategy,4.810344827586207,116,Other
Write A Feature Length Screenplay For Film Or Television,4.625,32,University
Marketing Gerencial,4.722745625841184,743,University
Corporate Finance Essentials,4.855652173913043,575,Other
Information Security: Context and Introduction,4.65406976744186,344,University
"Anatomy of the Chest, Abdomen, and Pelvis",4.802631578947368,228,University
Introduction to CSS3,4.790759075907591,1515,University
Applied Data Science Capstone,4.509466437177281,581,Other
Introduction aux Droits de l’Homme,4.858173076923077,416,University
"Programming Languages, Part A",4.918575063613232,393,University
Big History: Connecting Knowledge,4.786096256684492,374,University
Leadership in 21st Century Organizations,4.745762711864407,236,Other
Software Processes and Agile Practices,4.6747352496217855,661,University
DevOps Culture and Mindset,4.8108108108108105,74,University
Introduction to Statistics & Data Analysis in Public Health,4.67515923566879,157,University
Discrete Optimization,4.833333333333333,120,University
Основы разработки на C++: белый пояс,4.729651162790698,344,Institute
COVID-19 Contact Tracing For Nursing Professionals,4.428571428571429,7,University
High Stakes Leadership: Leading in Times of Crisis,4.777777777777778,27,University
Essential Epidemiologic Tools for Public Health Practice,4.635371179039302,458,University
Epigenetic Control of Gene Expression,1.0,6,University
"Recruiting, Hiring, and Onboarding Employees",3.84375,192,University
AWS Fundamentals: Addressing Security Risk,4.162698412698413,252,Other
Ancient Philosophy: Plato & His Predecessors,4.052631578947368,76,University
Becoming a changemaker: Introduction to Social Innovation,4.241379310344827,58,University
Spanish for Successful Communication in Healthcare Settings,4.0,6,University
Leading transformations: Manage change,4.3090909090909095,55,University
Introduction to Systems Engineering,4.7317073170731705,82,University
Bayesian Statistics: Techniques and Models,4.757009345794392,107,University
Human Rights for Open Societies,4.767123287671233,73,University
Introduction to Computers and Office Productivity Software,4.6,35,University
The Introduction to Quantum Computing,3.2045454545454546,44,University
Intercultural Management,4.444444444444445,63,Other
Get Interactive: Practical Teaching with Technology,4.780898876404494,178,University
Global Financial Markets and Instruments,4.307984790874524,263,University
Write Your First Novel,3.85,20,University
Développement psychologique de l'enfant,4.91588785046729,107,University
Songwriting: Writing the Lyrics,4.75,176,University
"Applied Plotting, Charting & Data Representation in Python",4.339160839160839,858,University
Systems Thinking In Public Health,4.513888888888889,144,University
Excel Skills for Business: Advanced,4.6825,800,University
Introduction to Neuroeconomics: How the Brain Makes Decisions,4.612903225806452,279,University
Community Organizing for Social Justice,4.53125,32,University
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),4.956989247311828,93,University
The Global Financial Crisis,4.8557457212713935,409,University
Agile и Scrum в работе над проектами и продуктами,4.7272727272727275,44,Other
Renewable Energy and Green Building Entrepreneurship,4.714652956298201,389,University
The Cycle: Management of Successful Arts and Cultural Organizations,4.861111111111111,108,University
Privacy Law and Data Protection,4.78125,64,University
Building Modern Python Applications on AWS,5.0,1,Other
Digital Business Models,4.495412844036697,109,University
"Everyday Excel, Part 2",4.95,40,University
Reliable Google Cloud Infrastructure: Design and Process,4.653916211293261,549,Other
Introduction to Computer Programming,3.920289855072464,138,University
